ahmed@ahmed-VirtualBox:~/task5$ gcc task5.c -o output
ahmed@ahmed-VirtualBox:~/task5$ ./task5.c /home 1024
bash: ./task5.c: Permission denied
ahmed@ahmed-VirtualBox:~/task5$ ./task5 /home 1024
bash: ./task5: No such file or directory
ahmed@ahmed-VirtualBox:~/task5$ ./output /home 1024
File Size Histogram (bin width = 1024 bytes):
311296 - 312319: 2 files
312320 - 313343: 1 files
315392 - 316415: 3 files
316416 - 317439: 1 files
320512 - 321535: 2 files
324608 - 325631: 1 files
325632 - 326655: 2 files
326656 - 327679: 2 files
329728 - 330751: 2 files
339968 - 340991: 3 files
340992 - 342015: 1 files
344064 - 345087: 1 files
349184 - 350207: 1 files
350208 - 351231: 4 files
351232 - 352255: 1 files
356352 - 357375: 1 files
358400 - 359423: 2 files
360448 - 361471: 1 files
362496 - 363519: 1 files
363520 - 364543: 1 files
369664 - 370687: 2 files
372736 - 373759: 1 files
373760 - 374783: 1 files
376832 - 377855: 1 files
378880 - 379903: 2 files
381952 - 382975: 5 files
382976 - 383999: 2 files
384000 - 385023: 6 files
387072 - 388095: 1 files
389120 - 390143: 2 files
390144 - 391167: 2 files
391168 - 392191: 2 files
394240 - 395263: 1 files
399360 - 400383: 2 files
402432 - 403455: 2 files
409600 - 410623: 1 files
410624 - 411647: 1 files
411648 - 412671: 1 files
413696 - 414719: 2 files
414720 - 415743: 3 files
417792 - 418815: 1 files
419840 - 420863: 2 files
420864 - 421887: 2 files
424960 - 425983: 1 files
425984 - 427007: 4 files
431104 - 432127: 1 files
432128 - 433151: 1 files
437248 - 438271: 1 files
440320 - 441343: 1 files
442368 - 443391: 1 files
445440 - 446463: 1 files
448512 - 449535: 1 files
451584 - 452607: 1 files
455680 - 456703: 1 files
457728 - 458751: 1 files
460800 - 461823: 1 files
465920 - 466943: 1 files
468992 - 470015: 1 files
470016 - 471039: 1 files
483328 - 484351: 1 files
495616 - 496639: 2 files
501760 - 502783: 1 files
508928 - 509951: 2 files
512000 - 513023: 1 files
520192 - 521215: 1 files
523264 - 524287: 2 files
524288 - 525311: 3 files
537600 - 538623: 2 files
539648 - 540671: 2 files
540672 - 541695: 1 files
543744 - 544767: 2 files
544768 - 545791: 1 files
545792 - 546815: 2 files
546816 - 547839: 1 files
549888 - 550911: 2 files
557056 - 558079: 1 files
559104 - 560127: 1 files
560128 - 561151: 1 files
582656 - 583679: 2 files
583680 - 584703: 1 files
591872 - 592895: 1 files
600064 - 601087: 2 files
607232 - 608255: 1 files
608256 - 609279: 2 files
609280 - 610303: 4 files
610304 - 611327: 1 files
615424 - 616447: 1 files
623616 - 624639: 1 files
632832 - 633855: 1 files
633856 - 634879: 1 files
634880 - 635903: 2 files
655360 - 656383: 1 files
664576 - 665599: 3 files
669696 - 670719: 1 files
671744 - 672767: 6 files
674816 - 675839: 1 files
686080 - 687103: 1 files
695296 - 696319: 2 files
696320 - 697343: 1 files
